Rank,alpha_scale,repulsion,delta_E,score,movement
1,1.0000000000000002,0.49999999999999994,28.78119797970885,-0.48519797970885037,2.2921382334637928
2,1.0000000000000002,0.39999999999999997,28.79499887904467,-0.4989988790446702,2.3339243760824027
3,1.0000000000000002,0.35,28.823581043325703,-0.5275810433257035,2.7953843249488943
4,1.0000000000000002,0.7499999999999999,28.864589980337996,-0.5685899803379968,3.179880099962612
5,1.0000000000000002,0.7,28.885819937576343,-0.589819937576344,3.085750132543265
6,1.0000000000000002,0.6499999999999999,28.89879748377666,-0.6027974837766621,3.067028410249387
7,1.0000000000000002,0.5999999999999999,28.901605380458705,-0.6056053804587052,3.0972249605256463
8,1.0000000000000002,0.5499999999999999,28.912957194245564,-0.6169571942455647,3.0616560144098828
9,1.0000000000000002,0.44999999999999996,28.928181211058245,-0.6321812110582457,3.06300220884275
10,1.0000000000000002,0.3,28.945174386210283,-0.6491743862102837,3.0725682808466757
11,1.0000000000000002,0.25,28.952745897512386,-0.656745897512387,3.0706038151701804
12,0.9500000000000002,0.3,27.485433809149526,-0.8105661908504729,3.0681136884552154
13,0.9500000000000002,0.35,27.479255511093243,-0.8167444889067568,3.092374686832815
14,0.9500000000000002,0.39999999999999997,27.47587120836988,-0.8201287916301183,3.0586787552746983
15,0.9500000000000002,0.44999999999999996,27.468352455053946,-0.8276475449460534,3.0625869612881678
16,0.9500000000000002,0.49999999999999994,27.46093379703416,-0.8350662029658409,3.0639525935634597
17,0.9500000000000002,0.25,27.443647048323783,-0.8523529516762167,2.9085853660997936
18,0.9500000000000002,0.5999999999999999,27.442419968690047,-0.8535800313099529,3.098693510312522
19,0.9500000000000002,0.7,27.411929237030563,-0.8840707629694364,3.169599318374481
20,0.9500000000000002,0.6499999999999999,27.35105138025142,-0.9449486197485797,2.9409546635162904
21,0.9500000000000002,0.5499999999999999,27.319717592867846,-0.9762824071321532,2.2966942448552383
22,0.9500000000000002,0.7499999999999999,27.281151453194298,-1.0148485468057018,2.420332223277862
23,1.0500000000000003,0.7499999999999999,30.222262099449836,-1.9262620994498363,2.833083339454347
24,1.0500000000000003,0.39999999999999997,30.250781760283644,-1.9547817602836446,2.367342751867798
25,1.0500000000000003,0.3,30.295307322635836,-1.9993073226358362,2.557053138346654
26,1.0500000000000003,0.44999999999999996,30.301596135133877,-2.005596135133878,2.772489844087858
27,1.0500000000000003,0.7,30.345086483910563,-2.049086483910564,3.083001888266334
28,1.0500000000000003,0.6499999999999999,30.358422727928428,-2.0624227279284284,3.06517849613755
29,1.0500000000000003,0.5999999999999999,30.365739498537323,-2.0697394985373236,3.065452752038639
30,1.0500000000000003,0.5499999999999999,30.37298224355004,-2.0769822435500416,3.0607536016920895
31,1.0500000000000003,0.49999999999999994,30.375847596563517,-2.0798475965635177,3.091607168536059
32,1.0500000000000003,0.35,30.397108444868763,-2.101108444868764,3.0724913945117076
33,1.0500000000000003,0.25,30.412474299471796,-2.116474299471797,3.0717867411873763
34,0.9000000000000001,0.25,26.038768919097038,-2.2572310809029617,3.059023877101585
35,0.9000000000000001,0.3,26.027372761554943,-2.268627238445056,3.090243907929485
36,0.9000000000000001,0.49999999999999994,25.99650387566635,-2.2994961243336505,3.1242867261779126
37,0.9000000000000001,0.5499999999999999,25.99384445277269,-2.302155547227308,3.0673965661797626
38,0.9000000000000001,0.5999999999999999,25.98135938075893,-2.314640619241068,3.0847659777577525
39,0.9000000000000001,0.7499999999999999,25.971915965194967,-2.3240840348050327,3.1529880420079315
40,0.9000000000000001,0.39999999999999997,25.9069836608287,-2.389016339171299,2.4907074127266524
41,0.9000000000000001,0.35,25.900415488767976,-2.3955845112320233,2.380585273134074
42,0.9000000000000001,0.44999999999999996,25.88533769148944,-2.4106623085105596,2.4139813411672018
43,0.9000000000000001,0.7,25.883698770843694,-2.4123012291563057,2.7006230790984516
44,0.9000000000000001,0.6499999999999999,25.859689424489716,-2.4363105755102836,2.334004432733748
45,1.1000000000000003,0.7499999999999999,31.637407959472284,-3.341407959472285,2.5236634526160007
46,1.1000000000000003,0.7,31.708392822746873,-3.412392822746874,2.8437353753171153
47,1.1000000000000003,0.5499999999999999,31.734256243292748,-3.4382562432927486,2.8916301688850905
48,1.1000000000000003,0.25,31.77436168166082,-3.4783616816608216,2.7028781483977284
49,1.1000000000000003,0.6499999999999999,31.817882752972082,-3.5218827529720826,3.0684181422258496
50,1.1000000000000003,0.39999999999999997,31.82245448312142,-3.5264544831214195,3.1730013379984947
51,1.1000000000000003,0.5999999999999999,31.825494736235214,-3.5294947362352147,3.0656051819617915
52,1.1000000000000003,0.49999999999999994,31.83544386493827,-3.5394438649382707,3.091495806103092
53,1.1000000000000003,0.44999999999999996,31.847598317433494,-3.551598317433495,3.061543004028311
54,1.1000000000000003,0.35,31.856731472482124,-3.560731472482125,3.0713323139103403
55,1.1000000000000003,0.3,31.864448677161363,-3.5684486771613635,3.0700806547244675
56,0.8500000000000001,0.25,24.558846997829278,-3.7371530021707215,3.1547164682753563
57,0.8500000000000001,0.39999999999999997,24.551204948009172,-3.7447950519908275,3.079799486403299
58,0.8500000000000001,0.44999999999999996,24.545209487644343,-3.750790512355657,3.0952356905497025
59,0.8500000000000001,0.49999999999999994,24.541383431988834,-3.7546165680111656,3.0654304372269405
60,0.8500000000000001,0.7,24.50795387851781,-3.788046121482189,3.0896720173596064
61,0.8500000000000001,0.6499999999999999,24.49752737590825,-3.798472624091751,3.1381177000120144
62,0.8500000000000001,0.3,24.451516675172115,-3.844483324827884,2.4353032491048707
63,0.8500000000000001,0.35,24.441776731735445,-3.8542232682645547,2.4418219319110324
64,0.8500000000000001,0.7499999999999999,24.437951347659236,-3.858048652340763,3.193824675242541
65,0.8500000000000001,0.5999999999999999,24.422198201065157,-3.873801798934842,2.437598035018868
66,0.8500000000000001,0.5499999999999999,24.419490052547644,-3.876509947452355,2.477280720093635
67,1.1500000000000004,0.3,33.02826405546534,-4.732264055465343,2.3813254886529696
68,1.1500000000000004,0.5999999999999999,33.12669863934957,-4.8306986393495706,2.35184945953564
69,1.1500000000000004,0.6499999999999999,33.13062916645481,-4.8346291664548104,2.4319705688380786
70,1.1500000000000004,0.5499999999999999,33.153758049629914,-4.857758049629915,2.518632084366984
71,1.1500000000000004,0.39999999999999997,33.208126003346706,-4.912126003346707,2.9879480016984736
72,1.1500000000000004,0.7499999999999999,33.24333955168481,-4.947339551684813,3.1268536546796253
73,1.1500000000000004,0.49999999999999994,33.25028531028761,-4.954285310287609,3.197016602957384
74,1.1500000000000004,0.7,33.26396152349798,-4.9679615234979835,3.083519716029403
75,1.1500000000000004,0.44999999999999996,33.3116864107767,-5.015686410776702,3.119138214697667
76,1.1500000000000004,0.35,33.31625147588102,-5.020251475881018,3.0708440180637595
77,1.1500000000000004,0.25,33.338575193504994,-5.0425751935049945,3.052189310612872
78,0.8,0.25,23.115925836613997,-5.180074163386003,3.086151327927133
79,0.8,0.39999999999999997,23.091673841304555,-5.204326158695444,3.080375020458045
80,0.8,0.44999999999999996,23.08779323630347,-5.208206763696531,3.085800715668892
81,0.8,0.49999999999999994,23.069478571013633,-5.226521428986366,3.0864827562661326
82,0.8,0.6499999999999999,23.060378048470284,-5.2356219515297155,3.0713356885164194
83,0.8,0.7,23.048705800184962,-5.2472941998150375,3.0865900601251135
84,0.8,0.3,23.04329853344575,-5.2527014665542495,2.7254595698987942
85,0.8,0.35,22.99555930970496,-5.300440690295041,2.3746553765203764
86,0.8,0.7499999999999999,22.983395894124897,-5.312604105875103,3.100427736547505
87,0.8,0.5499999999999999,22.976589959083867,-5.319410040916132,2.4682561658640907
88,0.8,0.5999999999999999,22.97155928925372,-5.324440710746281,2.7326813253239575
89,1.2000000000000004,0.49999999999999994,34.613735226789004,-6.317735226789004,2.522481254914322
90,1.2000000000000004,0.35,34.636538590346845,-6.340538590346846,2.5715623554721847
91,1.2000000000000004,0.39999999999999997,34.657617219047324,-6.361617219047325,2.7172135630005685
92,1.2000000000000004,0.7499999999999999,34.716713340486194,-6.420713340486195,3.090090611591999
93,1.2000000000000004,0.7,34.723391991396284,-6.427391991396284,3.0830502100036314
94,1.2000000000000004,0.6499999999999999,34.73644196347368,-6.440441963473681,3.0751867927708547
95,1.2000000000000004,0.5999999999999999,34.73811688324122,-6.442116883241219,3.0782124886437665
96,1.2000000000000004,0.5499999999999999,34.75253958967005,-6.456539589670051,3.060166955002379
97,1.2000000000000004,0.44999999999999996,34.762168166308584,-6.466168166308584,3.093623077081746
98,1.2000000000000004,0.3,34.78564163533474,-6.489641635334742,3.0858204475649766
99,1.2000000000000004,0.25,34.79433473832955,-6.498334738329554,3.0697738120485445
